review_id,source,post_date,rating,theme,theme_name,is_question,text
R0585,官方社区,2025-03-11,3,praise,正向评价,0,整体满意，小毛病有但迭代能看到在改，继续加油……
R0524,App Store,2025-05-03,2,support,客服响应慢/处理周期长,0,客观说一句，报错了找客服来回踢皮球，好几天没解决
R0463,App Store,2025-08-16,5,pricing,价格与收费争议,0,年付折扣可以，客服还帮忙申请了老客户优惠……
R0011,华为应用市场,2025-04-24,3,order_sync,订单漏单/同步延迟,0,用了大半年，漏单遇到过两次，重跑同步就好，希望能自动重试
R1004,官方社区,2025-05-29,3,logistics,物流单号同步慢/回传失败,1,物流单号一直不回传是怎么回事？要在哪里重新推送？。。。
R0961,知乎,2025-08-04,3,praise,正向评价,0,整体满意，小毛病有但迭代能看到在改，继续加油！！！
R0187,小红书,2025-06-24,3,inventory,多平台库存不同步/超卖,1,多仓调拨在途库存算哪个仓库？可用数对不上
R0164,小红书,2025-08-18,3,logistics,物流单号同步慢/回传失败,0,小卖家一枚，物流同步基本能用，就是极兔偶尔慢一点，手动刷新就好 #跨境电商
R0911,App Store,2025-08-14,,ad,广告灌水,0,货代一手价格 美国欧洲专线 联系Q群 88xxxx88
R0714,官方社区,2025-07-25,4,stability,系统卡顿/大促不稳定,0,求助，用了两年基本没宕过机，比之前换的那家强太多，大家注意避坑
R0847,小红书,2025-05-02,5,praise,正向评价,0,说实话，多店铺多平台统一管理，Lazada扩店一点不慌😭
R0102,App Store,2025-04-11,3,support,客服响应慢/处理周期长,1,工单在哪里看进度？提交了完全不知道排到哪了
R0404,App Store,2025-05-31,5,logistics,物流单号同步慢/回传失败,1,发货后虾皮后台不显示单号，有人知道怎么批量补传吗？
R0385,小红书,2025-08-14,1,logistics,物流单号同步慢/回传失败,0,老用户说句公道话，物流超时预警根本不触发，等买家投诉才知道包裹卡了
R0764,华为应用市场,2025-06-18,3,onboarding,上手成本高/引导不足,1,初始化导入商品有模板吗？字段填错了怎么批量改？
R0898,App Store,2025-04-06,,ad,广告灌水,0,代打单代发货 旺季临时外包 联系电话见简介
R0904,知乎,2025-04-28,,ad,广告灌水,0,需要代运营的加我微信 vx8xx9，资深运营一对一指导，包爆款
R0342,App Store,2025-05-22,1,order_sync,订单漏单/同步延迟,0,说实话，取消的订单不同步，仓库照发，货发了钱也退了！！！
R0577,小米应用商店,2025-07-14,5,praise,正向评价,0,多店铺多平台统一管理，亚马逊扩店一点不慌……
R0942,App Store,2025-03-18,1,logistics,物流单号同步慢/回传失败,0,说实话，ERP显示已发货，Lazada后台还是待发货，单号丢了三单，买家天天催发货
R0903,知乎,2025-05-01,,ad,广告灌水,0,货代一手价格 美国欧洲专线 联系Q群 88xxxx88
R0629,App Store,2025-06-13,1,order_sync,订单漏单/同步延迟,0,旺季实测，订单备注同步不过来，买家留言的赠品要求看不到，差评警告！！！
R0882,小红书,2025-03-08,,ad,广告灌水,0,推荐一个选品工具比这个好用多了 链接放评论区
R0198,华为应用市场,2025-05-06,1,listing,刊登与商品管理问题,0,小卖家一枚，Listing监控形同虚设，跟卖提醒一点不准 有没有同款情况的卖家
R0440,小红书,2025-07-06,1,listing,刊登与商品管理问题,0,真的服了，eBay类目对不上，刊登被退回说属性缺失，半夜还在手动补，老板已经在问我了服了
R0162,华为应用市场,2025-03-30,5,praise,正向评价,0,小卖家一枚，打单发货一条龙，仓库效率提升明显，老板说今年再加席位
R0833,小红书,2025-08-26,2,stability,系统卡顿/大促不稳定,0,老用户说句公道话，大促当天直接崩了三个小时，订单全积压
R0512,小红书,2025-03-12,1,support,客服响应慢/处理周期长,0,吐槽一下，售后工单解决一个问题平均要两天，期间订单发不出去，大促根本不敢放量
R0612,知乎,2025-08-13,4,finance,对账与财务能力弱,1,想看单个店铺的利润要在哪里筛选？
R0214,官方社区,2025-05-01,4,order_sync,订单漏单/同步延迟,1,多属性订单的规格映射在哪里配？发错颜色好几次了
R0770,小红书,2025-03-14,1,order_sync,订单漏单/同步延迟,0,订单备注同步不过来，买家留言的赠品要求看不到，差评警告！！！
R0521,App Store,2025-05-12,3,support,客服响应慢/处理周期长,0,求助，工作日白天响应快，晚上和周末基本只能留言
R0985,App Store,2025-08-08,2,logistics,物流单号同步慢/回传失败,0,用了大半年，自定义物流渠道配了一次都不生效，文档也写不清楚，仓库白忙一场
R0344,小红书,2025-05-03,5,praise,正向评价,0,求助，客户成功团队专业，季度回访还给优化建议，不像别家收钱就消失……
R0535,小红书,2025-03-10,2,pricing,价格与收费争议,0,老用户说句公道话，按席位收费太贵，客服仓库就用个打单也要全价席位，老板已经在问我了
R0078,小红书,2025-08-01,3,finance,对账与财务能力弱,0,报表够用但不灵活，想要的维度得找客服定制导出
R0625,官方社区,2025-06-21,5,stability,系统卡顿/大促不稳定,0,老用户说句公道话，Prime Day当天单量翻五倍系统也扛住了，稳定性可以 有没有同款情况的卖家服了
R0062,小米应用商店,2025-06-02,1,stability,系统卡顿/大促不稳定,0,用了大半年，页面加载慢得像拨号上网，打开库存页要等十几秒，买家天天催发货，大家注意避坑😤
R1023,知乎,2025-06-17,,ad,广告灌水,0,招跨境运营助理 朝九晚六底薪6k 地点深圳 详情看主页啊
R0036,App Store,2025-05-14,1,inventory,多平台库存不同步/超卖,0,老用户说句公道话，安全库存设了不提醒，断货两天才发现，大家注意避坑
R0867,小红书,2025-07-31,,ad,广告灌水,0,自用店铺转让 带审核 有意私聊
R0321,小红书,2025-03-16,2,stability,系统卡顿/大促不稳定,0,旺季实测，同步任务动不动失败，得手动重跑，晚上都不敢下班
R0148,官方社区,2025-03-22,1,order_sync,订单漏单/同步延迟,0,订单备注同步不过来，买家留言的赠品要求看不到，大促根本不敢放量 有没有同款情况的卖家
R0788,知乎,2025-04-29,1,stability,系统卡顿/大促不稳定,0,手机端更夸张，查个订单能闪退十几次……
R0644,小红书,2025-05-28,1,order_sync,订单漏单/同步延迟,0,老用户说句公道话，自动审单规则经常误判，正常订单被拦成异常
R0870,小红书,2025-04-05,,ad,广告灌水,0,刷单测评资源稳如狗 主页有联系方式
R0228,小红书,2025-07-28,3,logistics,物流单号同步慢/回传失败,1,回传失败的订单有列表可以批量重试吗？
R1008,小米应用商店,2025-06-16,2,logistics,物流单号同步慢/回传失败,0,物流轨迹更新延迟好几个小时，买家问货到哪了我比他还懵。。。
R0987,小红书,2025-05-27,1,logistics,物流单号同步慢/回传失败,0,老用户说句公道话，批量发货后单号回传成功率不到九成，每天都要人工核，买家天天催发货！！！
R0479,App Store,2025-04-29,5,stability,系统卡顿/大促不稳定,0,用了大半年，Prime Day当天单量翻五倍系统也扛住了，稳定性可以 #跨境电商
R0084,小米应用商店,2025-03-12,1,finance,对账与财务能力弱,0,利润报表算不准，头程运费和广告费分摊逻辑看不懂！！！
R0583,官方社区,2025-04-29,1,pricing,价格与收费争议,0,旺季实测，旺季临时加席位比平时贵一倍，趁火打劫吗
R0392,小红书,2025-06-23,3,inventory,多平台库存不同步/超卖,0,说实话，功能有但配置复杂，研究了两天才搞懂可售和可用的区别，老板已经在问我了
R0722,官方社区,2025-05-22,1,order_sync,订单漏单/同步延迟,0,黑五那几天订单堆积同步不过来，手动导单导到怀疑人生，老板已经在问我了服了
R0013,小红书,2025-04-19,5,praise,正向评价,0,用了大半年，从选品刊登到发货对账全链路打通，数据不用倒来倒去 有没有同款情况的卖家
R0186,小红书,2025-08-14,1,pricing,价格与收费争议,0,吐槽一下，报价不透明，销售一个价合同一个价，各种隐藏费用，买家天天催发货，大家注意避坑
R0449,App Store,2025-05-19,1,pricing,价格与收费争议,0,基础版好多功能要额外加钱，模块分开收费套路深，大促根本不敢放量……
R0920,官方社区,2025-08-18,,ad,广告灌水,0,自用店铺转让 带审核 有意私聊
R0130,知乎,2025-07-30,3,order_sync,订单漏单/同步延迟,1,异常订单被拦截后怎么批量处理？
R0455,小红书,2025-06-30,3,order_sync,订单漏单/同步延迟,0,老用户说句公道话，同步基本及时，个别订单要手动拉一下，整体可以接受，有用点个赞
R0923,知乎,2025-08-23,,ad,广告灌水,0,刷单测评资源稳如狗 主页有联系方式
R0055,App Store,2025-04-26,1,logistics,物流单号同步慢/回传失败,0,求助，大促期间物流回传直接排队，早上发的货下午才显示 有没有同款情况的卖家
R0763,App Store,2025-06-08,4,inventory,多平台库存不同步/超卖,1,采购在途数量怎么统计？为什么和供应商发货数对不上？
R0118,小红书,2025-07-11,2,inventory,多平台库存不同步/超卖,0,库存同步延迟太离谱，仓库出完货前台还挂着，大家注意避坑
R0232,官方社区,2025-07-10,3,onboarding,上手成本高/引导不足,0,吐槽一下，功能全但也复杂，建议找人带一下，自己摸索成本高 有没有同款情况的卖家
R0519,小红书,2025-07-10,5,praise,正向评价,0,老用户说句公道话，打单发货一条龙，仓库效率提升明显，老板说今年再加席位服了
R0341,App Store,2025-06-14,2,onboarding,上手成本高/引导不足,0,老用户说句公道话，帮助中心像产品说明书，没有实操案例看完还是不会，半夜还在手动补 有没有同款情况的卖家
R0608,知乎,2025-07-02,3,support,客服响应慢/处理周期长,0,旺季实测，客服态度还行就是专业度参差，复杂问题得等他们问技术
R0419,App Store,2025-03-22,5,praise,正向评价,0,吐槽一下，手机端查订单看数据方便，出差也能盯店铺，有用点个赞
R0654,官方社区,2025-05-05,5,support,客服响应慢/处理周期长,0,说实话，专属客户成功经理很负责，大促前主动提醒备货压测，好评，有用点个赞
R0975,小红书,2025-08-31,1,pricing,价格与收费争议,0,吐槽一下，报价不透明，销售一个价合同一个价，各种隐藏费用，买家天天催发货，大家注意避坑
