customer_id,month,logins,active_accounts,seats,tickets,avg_resolve_hours,csat,active_modules
C0001,2024-09-01,144,9,13,2,14.2,4.3,7
C0001,2024-10-01,136,9,13,3,6.9,4.7,8
C0001,2024-11-01,154,9,13,3,7.4,4.0,8
C0001,2024-12-01,150,10,13,3,12.8,4.2,7
C0001,2025-01-01,146,10,13,6,7.5,4.3,8
C0001,2025-02-01,149,10,13,2,24.2,5.0,8
C0001,2025-03-01,151,10,13,0,0.0,,8
C0001,2025-04-01,153,10,13,1,11.8,4.2,8
C0001,2025-05-01,167,10,13,1,11.3,4.7,8
C0001,2025-06-01,141,10,13,2,33.2,4.0,8
C0001,2025-07-01,172,11,13,1,12.8,4.9,8
C0001,2025-08-01,166,11,13,3,6.6,4.2,9
C0002,2024-09-01,258,37,49,11,13.9,4.6,7
C0002,2024-10-01,262,35,49,3,12.4,4.3,7
C0002,2024-11-01,289,36,49,10,9.8,4.1,7
C0002,2024-12-01,244,33,49,8,7.5,3.8,7
C0002,2025-01-01,271,37,49,10,6.1,4.7,8
C0002,2025-02-01,292,36,49,9,4.2,4.4,8
C0002,2025-03-01,268,36,49,10,8.3,4.3,8
C0002,2025-04-01,291,36,49,12,13.2,4.4,8
C0002,2025-05-01,264,34,49,6,12.6,4.6,8
C0002,2025-06-01,245,33,49,13,7.9,4.0,8
C0002,2025-07-01,265,34,49,8,14.7,4.2,9
C0002,2025-08-01,278,36,49,16,4.8,4.8,9
C0003,2024-09-01,101,13,16,1,12.4,4.1,8
C0003,2024-10-01,101,13,16,2,14.2,4.3,8
C0003,2024-11-01,101,13,16,2,6.6,,8
C0003,2024-12-01,101,13,16,6,7.9,4.3,8
C0003,2025-01-01,101,13,16,0,0.0,,8
C0003,2025-02-01,94,12,16,2,12.4,4.3,8
C0003,2025-03-01,101,13,16,3,5.0,4.2,8
C0003,2025-04-01,0,1,16,0,0.0,,0
C0003,2025-05-01,0,0,16,0,0.0,,0
C0003,2025-06-01,0,0,16,0,0.0,,0
C0003,2025-07-01,0,0,16,0,0.0,,0
C0003,2025-08-01,0,0,16,0,0.0,,0
C0004,2024-09-01,33,4,6,0,0.0,,7
C0004,2024-10-01,34,4,6,1,10.2,5.0,7
C0004,2024-11-01,35,4,6,0,0.0,,7
C0004,2024-12-01,32,4,6,0,0.0,,7
C0004,2025-01-01,36,4,6,1,7.8,4.3,7
C0004,2025-02-01,30,4,6,0,0.0,,8
C0004,2025-03-01,39,5,6,2,6.8,4.5,8
C0004,2025-04-01,44,5,6,3,5.5,4.1,8
C0004,2025-05-01,37,4,6,1,4.2,,8
C0004,2025-06-01,43,5,6,1,8.7,4.4,8
C0004,2025-07-01,42,5,6,2,9.0,4.4,9
C0004,2025-08-01,36,5,6,1,15.5,4.2,8
C0005,2024-09-01,340,42,57,10,5.9,4.3,7
C0005,2024-10-01,295,41,57,13,9.1,4.1,7
C0005,2024-11-01,310,41,57,7,10.5,4.6,7
C0005,2024-12-01,343,41,57,12,13.8,4.4,8
C0005,2025-01-01,313,39,57,8,14.2,4.6,8
C0005,2025-02-01,301,39,57,8,9.7,4.4,8
C0005,2025-03-01,331,41,57,8,30.6,4.4,8
C0005,2025-04-01,321,41,57,11,15.4,4.3,9
C0005,2025-05-01,346,44,57,15,14.3,4.5,8
C0005,2025-06-01,335,41,57,11,13.3,4.4,9
C0005,2025-07-01,323,43,57,18,14.7,4.2,9
C0005,2025-08-01,338,43,57,7,11.6,4.1,9
C0006,2024-09-01,198,14,18,4,9.6,,7
C0006,2024-10-01,204,13,18,3,9.3,,7
C0006,2024-11-01,204,14,18,4,12.6,3.9,8
C0006,2024-12-01,205,13,18,5,10.3,4.0,8
C0006,2025-01-01,192,13,18,1,12.2,4.9,7
C0006,2025-02-01,214,14,18,4,11.1,4.2,8
C0006,2025-03-01,212,14,18,4,10.3,4.5,8
C0006,2025-04-01,211,14,18,5,13.3,4.2,8
C0006,2025-05-01,208,14,18,3,8.8,4.4,8
C0006,2025-06-01,186,13,18,6,11.9,4.2,8
C0006,2025-07-01,227,14,18,3,16.9,4.6,8
C0006,2025-08-01,192,14,18,3,12.1,4.6,9
C0007,2024-09-01,102,10,13,0,0.0,,8
C0007,2024-10-01,102,10,13,0,0.0,,8
C0007,2024-11-01,112,11,13,3,8.2,4.2,8
C0007,2024-12-01,102,10,13,3,17.4,4.3,8
C0007,2025-01-01,102,10,13,1,14.6,4.5,8
C0007,2025-02-01,31,5,13,2,13.8,3.6,5
C0007,2025-03-01,20,4,13,4,9.6,2.8,4
C0007,2025-04-01,31,5,13,2,12.4,3.4,4
C0007,2025-05-01,71,7,13,0,0.0,,8
C0007,2025-06-01,92,9,13,0,0.0,,7
C0007,2025-07-01,102,10,13,0,0.0,,7
C0007,2025-08-01,112,11,13,1,10.4,4.2,8
C0008,2024-09-01,95,10,12,0,0.0,,8
C0008,2024-10-01,82,9,12,1,12.0,4.2,7
C0008,2024-11-01,79,9,12,1,8.0,4.1,7
C0008,2024-12-01,67,8,12,0,0.0,,6
C0008,2025-01-01,64,8,12,0,0.0,,6
C0008,2025-02-01,45,6,12,0,0.0,,5
C0008,2025-03-01,50,7,12,2,7.2,3.5,5
C0008,2025-04-01,34,5,12,1,13.2,3.4,4
C0008,2025-05-01,32,5,12,3,13.4,3.4,4
C0008,2025-06-01,30,5,12,0,0.0,,3
C0008,2025-07-01,23,4,12,1,6.2,3.0,3
C0008,2025-08-01,0,1,12,0,0.0,,0
C0009,2024-09-01,496,50,71,8,8.9,4.8,7
C0009,2024-10-01,466,49,71,15,6.9,4.6,8
C0009,2024-11-01,437,47,71,9,6.6,4.4,8
C0009,2024-12-01,514,51,71,18,13.1,4.4,7
C0009,2025-01-01,484,52,71,8,14.9,4.6,7
C0009,2025-02-01,463,51,71,9,6.8,4.2,8
C0009,2025-03-01,466,53,71,6,21.7,,8
C0009,2025-04-01,521,54,71,14,5.7,4.2,8
C0009,2025-05-01,537,54,71,10,10.7,4.2,8
C0009,2025-06-01,489,53,71,12,10.4,4.1,9
C0009,2025-07-01,519,52,71,14,9.3,3.9,9
C0009,2025-08-01,457,56,71,10,11.9,4.5,9
C0010,2024-09-01,306,32,44,6,9.6,4.8,7
C0010,2024-10-01,347,33,44,5,6.2,4.5,7
C0010,2024-11-01,342,33,44,3,47.2,4.5,7
C0010,2024-12-01,317,32,44,6,19.2,3.7,8
C0010,2025-01-01,308,32,44,3,16.0,4.6,8
