customer_id,month,rule_id,severity,evidence,health
C0002,2025-06-01,R4,中,合同 2025-07-20 到期（剩49天），健康度66.5,66.5
C0002,2025-07-01,R4,中,合同 2025-07-20 到期（剩19天），健康度67.2,67.2
C0007,2025-03-01,R1,高,登录连续两月环比下降 70%/35%（102→31→20次），健康度42.1,42.1
C0007,2025-04-01,R3,低,连续3月席位利用率 31%~38%、使用模块 4~5 个,39.1
C0008,2025-06-01,R3,低,连续3月席位利用率 42%~42%、使用模块 3~4 个,46.8
C0008,2025-06-01,R4,中,合同 2025-07-15 到期（剩44天），健康度46.8,46.8
C0008,2025-07-01,R3,低,连续3月席位利用率 33%~42%、使用模块 3~4 个,45.6
C0008,2025-07-01,R4,中,合同 2025-07-15 到期（剩14天），健康度45.6,45.6
C0010,2025-06-01,R4,中,合同 2025-07-20 到期（剩49天），健康度66.5,66.5
C0010,2025-07-01,R4,中,合同 2025-07-20 到期（剩19天），健康度69.8,69.8
C0013,2025-06-01,R3,低,连续3月席位利用率 35%~46%、使用模块 3~4 个,35.8
C0013,2025-06-01,R4,中,合同 2025-07-20 到期（剩49天），健康度35.8,35.8
C0013,2025-07-01,R3,低,连续3月席位利用率 31%~44%、使用模块 3~4 个,33.2
C0013,2025-07-01,R4,中,合同 2025-07-20 到期（剩19天），健康度33.2,33.2
C0015,2025-03-01,R1,高,登录连续两月环比下降 52%/61%（183→88→34次），健康度45.0,45.0
C0015,2025-04-01,R1,高,登录连续两月环比下降 61%/50%（88→34→17次），健康度32.3,32.3
C0015,2025-05-01,R1,高,登录连续两月环比下降 50%/65%（34→17→6次），健康度27.5,27.5
C0015,2025-05-01,R3,低,连续3月席位利用率 4%~25%、使用模块 3~5 个,27.5
C0015,2025-06-01,R3,低,连续3月席位利用率 0%~12%、使用模块 2~4 个,24.0
C0015,2025-07-01,R3,低,连续3月席位利用率 0%~4%、使用模块 1~3 个,12.2
C0015,2025-07-01,R4,中,合同 2025-08-28 到期（剩58天），健康度12.2,12.2
C0015,2025-08-01,R3,低,连续3月席位利用率 0%~0%、使用模块 1~2 个,11.7
C0015,2025-08-01,R4,中,合同 2025-08-28 到期（剩27天），健康度11.7,11.7
C0018,2025-03-01,R1,高,登录连续两月环比下降 47%/56%（98→52→23次），健康度48.2,48.2
C0018,2025-04-01,R1,高,登录连续两月环比下降 56%/35%（52→23→15次），健康度34.0,34.0
C0018,2025-05-01,R1,高,登录连续两月环比下降 35%/47%（23→15→8次），健康度30.8,30.8
C0018,2025-05-01,R3,低,连续3月席位利用率 10%~30%、使用模块 4~6 个,30.8
C0018,2025-05-01,R4,中,合同 2025-06-28 到期（剩58天），健康度30.8,30.8
C0018,2025-06-01,R3,低,连续3月席位利用率 0%~20%、使用模块 2~4 个,24.0
C0018,2025-06-01,R4,中,合同 2025-06-28 到期（剩27天），健康度24.0,24.0
C0019,2025-07-01,R4,中,合同 2025-08-28 到期（剩58天），健康度69.9,69.9
C0023,2025-01-01,R2,高,近2月工单较前2月增长 175%（10.0→27.5张/月），平均解决28h，CSAT 3.3,61.3
C0023,2025-06-01,R4,中,合同 2025-07-20 到期（剩49天），健康度69.3,69.3
C0027,2025-03-01,R4,中,合同 2025-04-28 到期（剩58天），健康度69.2,69.2
C0027,2025-04-01,R4,中,合同 2025-04-28 到期（剩27天），健康度58.9,58.9
C0028,2025-06-01,R4,中,合同 2025-07-28 到期（剩57天），健康度47.7,47.7
C0028,2025-07-01,R3,低,连续3月席位利用率 33%~44%、使用模块 3~4 个,44.3
C0028,2025-07-01,R4,中,合同 2025-07-28 到期（剩27天），健康度44.3,44.3
C0030,2025-03-01,R4,中,合同 2025-04-15 到期（剩45天），健康度67.7,67.7
C0031,2025-06-01,R4,中,合同 2025-07-28 到期（剩57天），健康度69.8,69.8
C0034,2025-05-01,R4,中,合同 2025-06-28 到期（剩58天），健康度68.0,68.0
C0034,2025-06-01,R4,中,合同 2025-06-28 到期（剩27天），健康度69.7,69.7
C0036,2025-03-01,R4,中,合同 2025-04-28 到期（剩58天），健康度45.0,45.0
C0036,2025-04-01,R4,中,合同 2025-04-28 到期（剩27天），健康度42.7,42.7
C0037,2025-03-01,R4,中,合同 2025-04-20 到期（剩50天），健康度67.8,67.8
C0037,2025-04-01,R4,中,合同 2025-04-20 到期（剩19天），健康度68.6,68.6
C0040,2025-02-01,R4,中,合同 2025-03-20 到期（剩47天），健康度61.2,61.2
C0040,2025-03-01,R4,中,合同 2025-03-20 到期（剩19天），健康度56.6,56.6
C0046,2025-07-01,R1,高,登录连续两月环比下降 85%/86%（433→64→9次），健康度20.6,20.6
C0046,2025-07-01,R4,中,合同 2025-08-15 到期（剩45天），健康度20.6,20.6
C0046,2025-08-01,R1,高,登录连续两月环比下降 86%/89%（64→9→1次），健康度11.7,11.7
C0046,2025-08-01,R3,低,连续3月席位利用率 2%~31%、使用模块 1~4 个,11.7
C0046,2025-08-01,R4,中,合同 2025-08-15 到期（剩14天），健康度11.7,11.7
C0047,2025-07-01,R4,中,合同 2025-07-15 到期（剩14天），健康度63.8,63.8
C0048,2025-03-01,R1,高,登录连续两月环比下降 68%/38%（224→72→45次），健康度42.5,42.5
