customer_id,industry,company_size,plan,seats,annual_amount,signup_date,contract_end,account_manager,archetype,renewal_status
C0001,汽摩配件,小微卖家,基础版,13,1560,2023-10-12,2025-03-28,苏芮,healthy,已续约
C0002,服饰鞋包,中型卖家,专业版,49,10780,2022-10-28,2025-07-20,黄炬,healthy,已续约
C0003,服饰鞋包,小微卖家,基础版,16,1920,2022-10-09,2025-03-20,林一,sudden_churn,未续约
C0004,汽摩配件,小微卖家,基础版,6,720,2023-10-19,2025-04-28,黄炬,healthy,已续约
C0005,户外运动,中型卖家,基础版,57,6840,2023-08-10,2025-08-28,苏芮,healthy,已续约
C0006,工业品,小微卖家,旗舰版,18,6480,2023-07-28,2025-03-28,周衡,healthy,已续约
C0007,美妆个护,小微卖家,专业版,13,2860,2023-10-13,2025-07-28,陈璐,recovered,已续约
C0008,家居园艺,小微卖家,基础版,12,1440,2024-04-06,2025-07-15,周衡,gradual_decline,未续约
C0009,工业品,大卖/品牌方,基础版,71,8520,2023-12-02,2025-08-28,林一,healthy,已续约
C0010,工业品,中型卖家,专业版,44,9680,2022-03-23,2025-07-20,黄炬,healthy,已续约
C0011,服饰鞋包,小微卖家,专业版,5,1100,2023-12-29,2025-04-28,黄炬,healthy,已续约
C0012,美妆个护,小微卖家,基础版,7,840,2022-02-16,2025-07-15,黄炬,healthy,未续约
C0013,服饰鞋包,中型卖家,基础版,52,6240,2023-08-26,2025-07-20,黄炬,gradual_decline,未续约
C0014,户外运动,中型卖家,专业版,37,8140,2022-02-06,2025-05-28,林一,healthy,已续约
C0015,家居园艺,中型卖家,专业版,24,5280,2022-03-19,2025-08-28,林一,login_cliff,已续约
C0016,户外运动,小微卖家,基础版,6,720,2023-10-01,2025-06-20,苏芮,healthy,已续约
C0017,3C电子,中型卖家,基础版,44,5280,2022-07-17,2025-08-28,苏芮,healthy,已续约
C0018,3C电子,小微卖家,基础版,10,1200,2024-06-01,2025-06-28,周衡,login_cliff,未续约
C0019,美妆个护,中型卖家,基础版,51,6120,2022-08-12,2025-08-28,陈璐,healthy,已续约
C0020,家居园艺,中型卖家,专业版,37,8140,2024-04-26,2025-03-28,周衡,healthy,已续约
C0021,服饰鞋包,中型卖家,基础版,40,4800,2024-05-26,2025-03-20,陈璐,healthy,已续约
C0022,服饰鞋包,小微卖家,专业版,11,2420,2023-07-26,2025-08-28,林一,healthy,已续约
C0023,服饰鞋包,中型卖家,基础版,36,4320,2024-04-08,2025-07-20,周衡,ticket_storm,已续约
C0024,家居园艺,小微卖家,专业版,10,2200,2023-05-25,2025-06-15,周衡,healthy,已续约
C0025,美妆个护,小微卖家,专业版,14,3080,2022-11-05,2025-06-28,周衡,healthy,已续约
C0026,美妆个护,小微卖家,专业版,17,3740,2023-10-26,2025-06-20,林一,healthy,已续约
C0027,家居园艺,中型卖家,专业版,56,12320,2022-08-10,2025-04-28,黄炬,login_cliff,未续约
C0028,家居园艺,小微卖家,基础版,18,2160,2024-01-28,2025-07-28,林一,gradual_decline,未续约
C0029,服饰鞋包,小微卖家,基础版,9,1080,2022-03-01,2025-07-20,林一,healthy,已续约
C0030,母婴玩具,大卖/品牌方,基础版,130,15600,2022-05-19,2025-04-15,苏芮,healthy,已续约
C0031,服饰鞋包,大卖/品牌方,旗舰版,71,25560,2023-02-09,2025-07-28,陈璐,healthy,已续约
C0032,美妆个护,中型卖家,基础版,57,6840,2023-07-31,2025-05-28,苏芮,healthy,已续约
C0033,家居园艺,小微卖家,基础版,8,960,2023-01-11,2025-08-20,黄炬,healthy,已续约
C0034,家居园艺,中型卖家,旗舰版,46,16560,2022-05-08,2025-06-28,黄炬,healthy,已续约
C0035,3C电子,中型卖家,基础版,35,4200,2023-03-08,2025-05-20,林一,healthy,已续约
C0036,3C电子,大卖/品牌方,基础版,123,14760,2022-07-29,2025-04-28,林一,gradual_decline,未续约
C0037,美妆个护,中型卖家,基础版,39,4680,2022-08-30,2025-04-20,黄炬,healthy,已续约
C0038,美妆个护,中型卖家,专业版,51,11220,2023-11-18,2025-06-28,苏芮,healthy,已续约
C0039,家居园艺,小微卖家,专业版,10,2200,2022-10-25,2025-05-28,苏芮,healthy,已续约
C0040,母婴玩具,中型卖家,旗舰版,32,11520,2023-06-13,2025-03-20,陈璐,gradual_decline,未续约
C0041,家居园艺,中型卖家,基础版,33,3960,2022-01-20,2025-05-20,黄炬,sudden_churn,未续约
C0042,美妆个护,小微卖家,基础版,9,1080,2022-06-22,2025-04-28,苏芮,login_cliff,未续约
C0043,家居园艺,小微卖家,专业版,18,3960,2023-05-25,2025-03-28,陈璐,healthy,已续约
C0044,户外运动,中型卖家,旗舰版,52,18720,2023-07-13,2025-08-28,黄炬,healthy,已续约
C0045,汽摩配件,中型卖家,旗舰版,50,18000,2023-07-16,2025-07-28,黄炬,healthy,已续约
C0046,3C电子,中型卖家,基础版,45,5400,2023-05-13,2025-08-15,周衡,sudden_churn,已续约
C0047,工业品,小微卖家,专业版,19,4180,2024-05-23,2025-07-15,陈璐,ticket_storm,未续约
C0048,3C电子,小微卖家,专业版,19,4180,2023-03-17,2025-08-20,黄炬,recovered,已续约
