customer_id,industry,company_size,plan,seats,annual_amount,signup_date,contract_end,account_manager,archetype,renewal_status,health,tier,logins,active_accounts,seats_m,tickets,avg_resolve_hours,csat,active_modules
C0001,汽摩配件,小微卖家,基础版,13,1560,2023-10-12,2025-03-28,苏芮,healthy,已续约,83.1,健康,166,11,13,3,6.6,4.2,9
C0002,服饰鞋包,中型卖家,专业版,49,10780,2022-10-28,2025-07-20,黄炬,healthy,已续约,69.9,关注,278,36,49,16,4.8,4.8,9
C0003,服饰鞋包,小微卖家,基础版,16,1920,2022-10-09,2025-03-20,林一,sudden_churn,未续约,23.7,高风险,0,0,16,0,0.0,,0
C0004,汽摩配件,小微卖家,基础版,6,720,2023-10-19,2025-04-28,黄炬,healthy,已续约,81.0,健康,36,5,6,1,15.5,4.2,8
C0005,户外运动,中型卖家,基础版,57,6840,2023-08-10,2025-08-28,苏芮,healthy,已续约,71.5,关注,338,43,57,7,11.6,4.1,9
C0006,工业品,小微卖家,旗舰版,18,6480,2023-07-28,2025-03-28,周衡,healthy,已续约,81.0,健康,192,14,18,3,12.1,4.6,9
C0007,美妆个护,小微卖家,专业版,13,2860,2023-10-13,2025-07-28,陈璐,recovered,已续约,83.0,健康,112,11,13,1,10.4,4.2,8
C0008,家居园艺,小微卖家,基础版,12,1440,2024-04-06,2025-07-15,周衡,gradual_decline,未续约,28.1,高风险,0,1,12,0,0.0,,0
C0009,工业品,大卖/品牌方,基础版,71,8520,2023-12-02,2025-08-28,林一,healthy,已续约,71.3,关注,457,56,71,10,11.9,4.5,9
C0010,工业品,中型卖家,专业版,44,9680,2022-03-23,2025-07-20,黄炬,healthy,已续约,82.2,健康,347,31,44,6,7.3,4.2,9
C0011,服饰鞋包,小微卖家,专业版,5,1100,2023-12-29,2025-04-28,黄炬,healthy,已续约,82.7,健康,55,4,5,1,10.1,4.3,9
C0012,美妆个护,小微卖家,基础版,7,840,2022-02-16,2025-07-15,黄炬,healthy,未续约,35.6,高风险,0,1,7,0,0.0,,0
C0013,服饰鞋包,中型卖家,基础版,52,6240,2023-08-26,2025-07-20,黄炬,gradual_decline,未续约,15.6,高风险,0,1,52,0,0.0,,0
C0014,户外运动,中型卖家,专业版,37,8140,2022-02-06,2025-05-28,林一,healthy,已续约,82.8,健康,288,31,37,1,16.2,4.5,9
C0015,家居园艺,中型卖家,专业版,24,5280,2022-03-19,2025-08-28,林一,login_cliff,已续约,11.7,高风险,0,0,24,7,19.1,2.5,1
C0016,户外运动,小微卖家,基础版,6,720,2023-10-01,2025-06-20,苏芮,healthy,已续约,84.5,健康,62,5,6,0,0.0,,9
C0017,3C电子,中型卖家,基础版,44,5280,2022-07-17,2025-08-28,苏芮,healthy,已续约,71.9,关注,337,32,44,3,9.4,4.2,9
C0018,3C电子,小微卖家,基础版,10,1200,2024-06-01,2025-06-28,周衡,login_cliff,未续约,22.1,高风险,0,0,10,0,0.0,,0
C0019,美妆个护,中型卖家,基础版,51,6120,2022-08-12,2025-08-28,陈璐,healthy,已续约,79.2,关注,420,35,51,2,14.7,4.1,9
C0020,家居园艺,中型卖家,专业版,37,8140,2024-04-26,2025-03-28,周衡,healthy,已续约,79.3,关注,206,27,37,5,17.9,4.3,9
C0021,服饰鞋包,中型卖家,基础版,40,4800,2024-05-26,2025-03-20,陈璐,healthy,已续约,70.0,关注,347,31,40,5,10.7,4.6,8
C0022,服饰鞋包,小微卖家,专业版,11,2420,2023-07-26,2025-08-28,林一,healthy,已续约,77.2,关注,45,8,11,3,7.7,4.3,8
C0023,服饰鞋包,中型卖家,基础版,36,4320,2024-04-08,2025-07-20,周衡,ticket_storm,已续约,70.2,关注,283,25,36,2,12.7,4.1,8
C0024,家居园艺,小微卖家,专业版,10,2200,2023-05-25,2025-06-15,周衡,healthy,已续约,81.7,健康,68,8,10,3,14.8,4.6,9
C0025,美妆个护,小微卖家,专业版,14,3080,2022-11-05,2025-06-28,周衡,healthy,已续约,81.6,健康,129,10,14,0,0.0,,9
C0026,美妆个护,小微卖家,专业版,17,3740,2023-10-26,2025-06-20,林一,healthy,已续约,81.7,健康,124,12,17,3,6.8,4.6,9
