rank,customer_id,industry,plan,account_manager,health,tier,rules,top_rule,severity,evidence,all_evidence,actions,renewal_status,contract_end,annual_amount
1,C0406,3C电子,基础版,苏芮,11.6,高风险,R1、R3,R1,高,登录连续两月环比下降 86%/89%（65→9→1次），健康度11.6,登录连续两月环比下降 86%/89%（65→9→1次），健康度11.6 | 连续3月席位利用率 2%~30%、使用模块 1~4 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-11-20,6480
2,C0046,3C电子,基础版,周衡,11.7,高风险,R1、R3、R4,R1,高,登录连续两月环比下降 86%/89%（64→9→1次），健康度11.7,登录连续两月环比下降 86%/89%（64→9→1次），健康度11.7 | 合同 2025-08-15 到期（剩14天），健康度11.7 | 连续3月席位利用率 2%~31%、使用模块 1~4 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-08-15,5400
3,C0415,服饰鞋包,基础版,苏芮,11.8,高风险,R1、R3,R1,高,登录连续两月环比下降 83%/89%（54→9→1次），健康度11.8,登录连续两月环比下降 83%/89%（54→9→1次），健康度11.8 | 连续3月席位利用率 3%~29%、使用模块 1~4 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-11-20,4560
4,C0101,户外运动,旗舰版,黄炬,11.9,高风险,R1、R3、R4,R1,高,登录连续两月环比下降 85%/92%（88→13→1次），健康度11.9,登录连续两月环比下降 85%/92%（88→13→1次），健康度11.9 | 合同 2025-08-15 到期（剩14天），健康度11.9 | 连续3月席位利用率 2%~30%、使用模块 1~4 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-15,32040
5,C0143,户外运动,专业版,陈璐,12.1,高风险,R1、R3,R1,高,登录连续两月环比下降 84%/100%（32→5→0次），健康度12.1,登录连续两月环比下降 84%/100%（32→5→0次），健康度12.1 | 连续3月席位利用率 3%~29%、使用模块 1~4 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-05-28,7480
6,C0150,服饰鞋包,基础版,林一,12.8,高风险,R1、R3、R4,R1,高,登录连续两月环比下降 86%/90%（70→10→1次），健康度12.8,登录连续两月环比下降 86%/90%（70→10→1次），健康度12.8 | 合同 2025-08-20 到期（剩19天），健康度12.8 | 连续3月席位利用率 2%~30%、使用模块 1~4 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-20,6000
7,C0135,母婴玩具,基础版,陈璐,14.6,高风险,R1、R3,R1,高,登录连续两月环比下降 56%/36%（32→14→9次），健康度14.6,登录连续两月环比下降 56%/36%（32→14→9次），健康度14.6 | 连续3月席位利用率 2%~9%、使用模块 2~3 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-03-28,9720
8,C0480,家居园艺,专业版,苏芮,20.7,高风险,R1、R3,R1,高,登录连续两月环比下降 87%/100%（30→4→0次），健康度20.7,登录连续两月环比下降 87%/100%（30→4→0次），健康度20.7 | 连续3月席位利用率 0%~32%、使用模块 1~4 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-12-20,5500
9,C0446,户外运动,基础版,陈璐,21.4,高风险,R2、R3、R4,R2,高,近2月工单较前2月增长 100%（1.0→2.0张/月），平均解决71h，CSAT 2.6,近2月工单较前2月增长 100%（1.0→2.0张/月），平均解决71h，CSAT 2.6 | 合同 2025-09-20 到期（剩50天），健康度21.4 | 连续3月席位利用率 0%~40%、使用模块 1~4 个,技术支持专家48小时内介入排查根因；开通应急通道（响应SLA提升至4小时）；立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-09-20,600
10,C0275,服饰鞋包,专业版,周衡,22.2,高风险,R1,R1,高,登录连续两月环比下降 57%/56%（324→140→62次），健康度22.2,登录连续两月环比下降 57%/56%（324→140→62次），健康度22.2,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因,已续约,2025-04-20,12540
11,C0482,户外运动,基础版,陈璐,22.6,高风险,R1,R1,高,登录连续两月环比下降 58%/54%（128→54→25次），健康度22.6,登录连续两月环比下降 58%/54%（128→54→25次），健康度22.6,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因,待续约,2025-12-15,3960
12,C0245,服饰鞋包,专业版,林一,23.7,高风险,R1、R4,R1,高,登录连续两月环比下降 65%/53%（226→79→37次），健康度23.7,登录连续两月环比下降 65%/53%（226→79→37次），健康度23.7 | 合同 2025-08-28 到期（剩27天），健康度23.7,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,12980
13,C0166,工业品,专业版,黄炬,26.5,高风险,R1、R3、R4,R1,高,登录连续两月环比下降 56%/67%（55→24→8次），健康度26.5,登录连续两月环比下降 56%/67%（55→24→8次），健康度26.5 | 合同 2025-08-28 到期（剩27天），健康度26.5 | 连续3月席位利用率 3%~23%、使用模块 3~6 个,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因；立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-28,6820
14,C0153,服饰鞋包,基础版,周衡,29.8,高风险,R1,R1,高,登录连续两月环比下降 62%/67%（127→48→16次），健康度29.8,登录连续两月环比下降 62%/67%（127→48→16次），健康度29.8,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因,已续约,2025-07-28,3240
15,C0382,家居园艺,基础版,黄炬,33.3,高风险,R1,R1,高,登录连续两月环比下降 58%/50%（91→38→19次），健康度33.3,登录连续两月环比下降 58%/50%（91→38→19次），健康度33.3,48小时内客户成功总监+销售VP高层回访；CSM 24小时内电话诊断流失根因,待续约,2025-12-28,2880
16,C0376,户外运动,旗舰版,林一,50.5,高风险,R2,R2,高,近2月工单较前2月增长 58%（6.0→9.5张/月），平均解决29h，CSAT 2.2,近2月工单较前2月增长 58%（6.0→9.5张/月），平均解决29h，CSAT 2.2,技术支持专家48小时内介入排查根因；开通应急通道（响应SLA提升至4小时）,已续约,2025-03-28,6480
17,C0452,户外运动,基础版,陈璐,59.2,高风险,R2,R2,高,近2月工单较前2月增长 58%（6.0→9.5张/月），平均解决26h，CSAT 2.5,近2月工单较前2月增长 58%（6.0→9.5张/月），平均解决26h，CSAT 2.5,技术支持专家48小时内介入排查根因；开通应急通道（响应SLA提升至4小时）,待续约,2025-12-28,1920
18,C0411,家居园艺,旗舰版,黄炬,59.8,高风险,R2,R2,高,近2月工单较前2月增长 133%（3.0→7.0张/月），平均解决37h，CSAT 2.7,近2月工单较前2月增长 133%（3.0→7.0张/月），平均解决37h，CSAT 2.7,技术支持专家48小时内介入排查根因；开通应急通道（响应SLA提升至4小时）,待续约,2025-12-20,3240
19,C0269,服饰鞋包,基础版,苏芮,62.0,关注,R2,R2,高,近2月工单较前2月增长 450%（1.0→5.5张/月），平均解决30h，CSAT 2.6,近2月工单较前2月增长 450%（1.0→5.5张/月），平均解决30h，CSAT 2.6,技术支持专家48小时内介入排查根因；开通应急通道（响应SLA提升至4小时）,已续约,2025-05-28,840
20,C0015,家居园艺,专业版,林一,11.7,高风险,R3、R4,R4,中,合同 2025-08-28 到期（剩27天），健康度11.7,合同 2025-08-28 到期（剩27天），健康度11.7 | 连续3月席位利用率 0%~0%、使用模块 1~2 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-08-28,5280
21,C0173,美妆个护,基础版,陈璐,12.8,高风险,R3、R4,R4,中,合同 2025-08-20 到期（剩19天），健康度12.8,合同 2025-08-20 到期（剩19天），健康度12.8 | 连续3月席位利用率 2%~2%、使用模块 1~3 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-20,6840
22,C0383,美妆个护,专业版,苏芮,20.5,高风险,R3、R4,R4,中,合同 2025-09-28 到期（剩58天），健康度20.5,合同 2025-09-28 到期（剩58天），健康度20.5 | 连续3月席位利用率 0%~28%、使用模块 1~4 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-09-28,3960
23,C0291,工业品,基础版,苏芮,28.6,高风险,R3、R4,R4,中,合同 2025-08-28 到期（剩27天），健康度28.6,合同 2025-08-28 到期（剩27天），健康度28.6 | 连续3月席位利用率 25%~36%、使用模块 2~3 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-28,6720
24,C0276,工业品,旗舰版,林一,28.9,高风险,R3、R4,R4,中,合同 2025-08-28 到期（剩27天），健康度28.9,合同 2025-08-28 到期（剩27天），健康度28.9 | 连续3月席位利用率 25%~37%、使用模块 2~3 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-28,42480
25,C0355,服饰鞋包,旗舰版,林一,30.6,高风险,R3、R4,R4,中,合同 2025-08-20 到期（剩19天），健康度30.6,合同 2025-08-20 到期（剩19天），健康度30.6 | 连续3月席位利用率 28%~38%、使用模块 2~3 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-08-20,14400
26,C0077,户外运动,基础版,周衡,31.6,高风险,R3、R4,R4,中,合同 2025-08-28 到期（剩27天），健康度31.6,合同 2025-08-28 到期（剩27天），健康度31.6 | 连续3月席位利用率 29%~38%、使用模块 2~3 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-28,9120
27,C0174,汽摩配件,基础版,黄炬,32.3,高风险,R3、R4,R4,中,合同 2025-08-15 到期（剩14天），健康度32.3,合同 2025-08-15 到期（剩14天），健康度32.3 | 连续3月席位利用率 32%~39%、使用模块 2~3 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,未续约,2025-08-15,5280
28,C0491,家居园艺,基础版,陈璐,39.9,高风险,R3、R4,R4,中,合同 2025-09-28 到期（剩58天），健康度39.9,合同 2025-09-28 到期（剩58天），健康度39.9 | 连续3月席位利用率 25%~43%、使用模块 2~3 个,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议；下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-09-28,5280
29,C0227,母婴玩具,基础版,陈璐,50.1,高风险,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度50.1,合同 2025-08-28 到期（剩27天），健康度50.1,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,未续约,2025-08-28,1800
30,C0490,服饰鞋包,基础版,苏芮,50.4,高风险,R4,R4,中,合同 2025-09-15 到期（剩45天），健康度50.4,合同 2025-09-15 到期（剩45天），健康度50.4,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,待续约,2025-09-15,17040
31,C0199,服饰鞋包,专业版,黄炬,52.5,高风险,R4,R4,中,合同 2025-08-15 到期（剩14天），健康度52.5,合同 2025-08-15 到期（剩14天），健康度52.5,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-15,9900
32,C0191,服饰鞋包,基础版,苏芮,53.7,高风险,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度53.7,合同 2025-08-28 到期（剩27天），健康度53.7,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,9360
33,C0393,3C电子,专业版,林一,57.6,高风险,R4,R4,中,合同 2025-09-28 到期（剩58天），健康度57.6,合同 2025-09-28 到期（剩58天），健康度57.6,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,待续约,2025-09-28,3740
34,C0266,家居园艺,专业版,黄炬,66.8,关注,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度66.8,合同 2025-08-28 到期（剩27天），健康度66.8,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,10560
35,C0424,服饰鞋包,基础版,陈璐,68.2,关注,R4,R4,中,合同 2025-09-20 到期（剩50天），健康度68.2,合同 2025-09-20 到期（剩50天），健康度68.2,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,待续约,2025-09-20,4680
36,C0476,3C电子,专业版,苏芮,68.4,关注,R4,R4,中,合同 2025-09-15 到期（剩45天），健康度68.4,合同 2025-09-15 到期（剩45天），健康度68.4,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,待续约,2025-09-15,22000
37,C0242,服饰鞋包,专业版,黄炬,69.0,关注,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度69.0,合同 2025-08-28 到期（剩27天），健康度69.0,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,8800
38,C0299,家居园艺,基础版,苏芮,69.1,关注,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度69.1,合同 2025-08-28 到期（剩27天），健康度69.1,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,6360
39,C0320,3C电子,基础版,苏芮,69.1,关注,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度69.1,合同 2025-08-28 到期（剩27天），健康度69.1,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,10200
40,C0380,家居园艺,基础版,苏芮,69.7,关注,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度69.7,合同 2025-08-28 到期（剩27天），健康度69.7,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,4680
41,C0176,3C电子,基础版,黄炬,69.8,关注,R4,R4,中,合同 2025-08-28 到期（剩27天），健康度69.8,合同 2025-08-28 到期（剩27天），健康度69.8,立即生成《客户价值回顾报告》并预约续约沟通；销售+CSM联合续约拜访，提前处理异议,已续约,2025-08-28,6600
42,C0113,家居园艺,专业版,黄炬,11.9,高风险,R3,R3,低,连续3月席位利用率 0%~7%、使用模块 1~3 个,连续3月席位利用率 0%~7%、使用模块 1~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-04-20,3080
43,C0154,家居园艺,专业版,黄炬,12.0,高风险,R3,R3,低,连续3月席位利用率 0%~5%、使用模块 1~3 个,连续3月席位利用率 0%~5%、使用模块 1~3 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-06-28,8360
44,C0418,户外运动,旗舰版,周衡,21.6,高风险,R3,R3,低,连续3月席位利用率 0%~0%、使用模块 1~2 个,连续3月席位利用率 0%~0%、使用模块 1~2 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,待续约,2025-10-28,10080
45,C0303,3C电子,基础版,陈璐,23.7,高风险,R3,R3,低,连续3月席位利用率 0%~14%、使用模块 2~4 个,连续3月席位利用率 0%~14%、使用模块 2~4 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-05-28,1680
46,C0363,母婴玩具,专业版,苏芮,23.8,高风险,R3,R3,低,连续3月席位利用率 0%~0%、使用模块 2~4 个,连续3月席位利用率 0%~0%、使用模块 2~4 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-05-28,1100
47,C0091,家居园艺,旗舰版,周衡,26.2,高风险,R3,R3,低,连续3月席位利用率 4%~11%、使用模块 3~4 个,连续3月席位利用率 4%~11%、使用模块 3~4 个,下发30天激活任务（每周2个核心功能）；报名直播培训并布置课后实操任务,已续约,2025-05-28,10080
