customer_id,month,in_service,usage_score,login_score,ticket_score,csat_score,health,tier
C0001,2024-09-01,True,78.6,90.0,52.8,86.0,75.7,关注
C0001,2024-10-01,True,83.0,86.8,52.8,90.0,77.1,关注
C0001,2024-11-01,True,83.0,90.5,52.8,86.7,77.7,关注
C0001,2024-12-01,True,84.4,94.3,52.8,86.0,79.1,关注
C0001,2025-01-01,True,88.8,90.9,52.8,86.0,80.1,健康
C0001,2025-02-01,True,88.8,92.5,52.8,90.0,80.9,健康
C0001,2025-03-01,True,88.8,91.4,52.8,93.0,80.9,健康
C0001,2025-04-01,True,88.8,90.7,52.8,92.0,80.6,健康
C0001,2025-05-01,True,88.8,95.8,52.8,89.0,81.6,健康
C0001,2025-06-01,True,88.8,93.4,52.8,86.0,80.7,健康
C0001,2025-07-01,True,91.1,96.0,52.8,90.7,82.7,健康
C0001,2025-08-01,True,95.6,91.7,52.8,87.3,83.1,健康
C0002,2024-09-01,True,83.3,90.0,15.0,92.0,68.8,关注
C0002,2024-10-01,True,80.2,90.8,15.0,89.0,67.4,关注
C0002,2024-11-01,True,81.8,94.5,15.0,86.7,68.8,关注
C0002,2024-12-01,True,77.2,91.2,15.0,84.0,65.8,关注
C0002,2025-01-01,True,87.7,87.9,15.0,86.0,69.4,关注
C0002,2025-02-01,True,86.2,89.7,15.0,86.0,69.3,关注
C0002,2025-03-01,True,86.2,94.5,15.0,89.3,70.8,关注
C0002,2025-04-01,True,86.2,95.8,15.0,87.3,70.9,关注
C0002,2025-05-01,True,83.2,92.0,15.0,88.7,68.9,关注
C0002,2025-06-01,True,81.6,85.6,15.0,86.7,66.5,关注
C0002,2025-07-01,True,87.6,79.4,15.0,85.3,67.2,关注
C0002,2025-08-01,True,90.7,85.0,15.0,86.7,69.9,关注
C0003,2024-09-01,True,91.1,90.0,52.8,82.0,80.3,健康
C0003,2024-10-01,True,91.1,90.0,52.8,84.0,80.5,健康
C0003,2024-11-01,True,91.1,90.0,52.8,84.0,80.5,健康
C0003,2024-12-01,True,91.1,90.0,52.8,84.7,80.6,健康
C0003,2025-01-01,True,91.1,90.0,52.8,84.7,80.6,健康
C0003,2025-02-01,True,87.4,87.3,52.8,86.0,78.6,关注
C0003,2025-03-01,True,91.1,87.3,52.8,85.0,80.0,健康
C0003,2025-04-01,False,4.7,47.9,52.8,85.0,35.6,高风险
C0003,2025-05-01,False,0.0,14.1,52.8,84.0,25.1,高风险
C0003,2025-06-01,False,0.0,10.0,52.8,80.0,23.7,高风险
C0003,2025-07-01,False,0.0,10.0,52.8,80.0,23.7,高风险
C0003,2025-08-01,False,0.0,10.0,52.8,80.0,23.7,高风险
C0004,2024-09-01,True,76.7,90.0,52.8,80.0,74.4,关注
C0004,2024-10-01,True,76.7,91.5,52.8,100.0,76.7,关注
C0004,2024-11-01,True,76.7,93.0,52.8,100.0,77.1,关注
C0004,2024-12-01,True,76.7,90.0,52.8,100.0,76.4,关注
C0004,2025-01-01,True,76.7,90.0,52.8,93.0,75.7,关注
C0004,2025-02-01,True,81.1,85.4,52.8,86.0,75.6,关注
