review_id,source,post_date,rating,theme,theme_name,is_question,text,tokens,token_text,sentiment,sent_band,lda_topic,rating_num,mined_theme
R0524,App Store,2025-05-03,2.0,support,客服响应慢/处理周期长,0,客观说一句，报错了找客服来回踢皮球，好几天没解决,"['报错', '客服', '来回', '踢皮球', '几天', '解决']",报错 客服 来回 踢皮球 几天 解决,0.0,负面,其他使用体验,2.0,客服与工单
R0463,App Store,2025-08-16,5.0,pricing,价格与收费争议,0,年付折扣可以，客服还帮忙申请了老客户优惠,"['年付', '折扣', '客服', '帮忙', '申请', '老客户', '优惠']",年付 折扣 客服 帮忙 申请 老客户 优惠,0.003,负面,物流同步与回传,5.0,客服与工单
R0011,华为应用市场,2025-04-24,3.0,order_sync,订单漏单/同步延迟,0,用了大半年，漏单遇到过两次，重跑同步就好，希望能自动重试,"['大半年', '漏单', '遇到', '两次', '重跑', '同步', '希望', '重试']",大半年 漏单 遇到 两次 重跑 同步 希望 重试,0.119,负面,多平台库存/超卖,3.0,订单同步与处理
R1004,官方社区,2025-05-29,3.0,logistics,物流单号同步慢/回传失败,1,物流单号一直不回传是怎么回事？要在哪里重新推送？。。。,"['物流单号', '回传', '怎么回事', '哪里', '重新', '推送']",物流单号 回传 怎么回事 哪里 重新 推送,0.027,负面,其他使用体验,3.0,物流同步与回传
R0187,小红书,2025-06-24,3.0,inventory,多平台库存不同步/超卖,1,多仓调拨在途库存算哪个仓库？可用数对不上,"['多仓', '调拨', '库存', '哪个', '仓库', '可用', '对不上']",多仓 调拨 库存 哪个 仓库 可用 对不上,0.101,负面,其他使用体验,3.0,多平台库存/超卖
R0164,小红书,2025-08-18,3.0,logistics,物流单号同步慢/回传失败,0,小卖家一枚，物流同步基本能用，就是极兔偶尔慢一点，手动刷新就好,"['一枚', '物流', '同步', '基本', '极兔', '偶尔', '一点', '刷新']",一枚 物流 同步 基本 极兔 偶尔 一点 刷新,0.807,正面,物流同步与回传,3.0,物流同步与回传
R0714,官方社区,2025-07-25,4.0,stability,系统卡顿/大促不稳定,0,求助，用了两年基本没宕过机，比之前换的那家强太多，大家注意避坑,"['两年', '基本', '没宕', '过机', '那家', '强太多']",两年 基本 没宕 过机 那家 强太多,0.002,负面,客服与工单,4.0,未分类
R0847,小红书,2025-05-02,5.0,praise,正向评价,0,说实话，多店铺多平台统一管理，Lazada扩店一点不慌😭,"['说实话', '统一', '管理', 'Lazada', '扩店', '一点']",说实话 统一 管理 Lazada 扩店 一点,0.328,负面,物流同步与回传,5.0,正向评价
R0102,App Store,2025-04-11,3.0,support,客服响应慢/处理周期长,1,工单在哪里看进度？提交了完全不知道排到哪了,"['工单', '哪里', '进度', '提交', '排到']",工单 哪里 进度 提交 排到,0.067,负面,客服与工单,3.0,客服与工单
R0404,App Store,2025-05-31,5.0,logistics,物流单号同步慢/回传失败,1,发货后虾皮后台不显示单号，有人知道怎么批量补传吗？,"['发货', '虾皮', '后台', '显示', '批量', '补传']",发货 虾皮 后台 显示 批量 补传,0.007,负面,其他使用体验,5.0,物流同步与回传
R0385,小红书,2025-08-14,1.0,logistics,物流单号同步慢/回传失败,0,老用户说句公道话，物流超时预警根本不触发，等买家投诉才知道包裹卡了,"['说句', '物流', '超时', '预警', '触发', '投诉', '包裹']",说句 物流 超时 预警 触发 投诉 包裹,0.0,负面,其他使用体验,1.0,物流同步与回传
R0764,华为应用市场,2025-06-18,3.0,onboarding,上手成本高/引导不足,1,初始化导入商品有模板吗？字段填错了怎么批量改？,"['初始化', '导入', '商品', '模板', '字段', '填错', '批量']",初始化 导入 商品 模板 字段 填错 批量,0.241,负面,其他使用体验,3.0,未分类
R0342,App Store,2025-05-22,1.0,order_sync,订单漏单/同步延迟,0,说实话，取消的订单不同步，仓库照发，货发了钱也退了！！！,"['说实话', '取消', '订单', '同步', '仓库', '照发', '货发']",说实话 取消 订单 同步 仓库 照发 货发,0.0,负面,价格与收费,1.0,订单同步与处理
R0577,小米应用商店,2025-07-14,5.0,praise,正向评价,0,多店铺多平台统一管理，亚马逊扩店一点不慌,"['统一', '管理', '亚马逊', '扩店', '一点']",统一 管理 亚马逊 扩店 一点,0.801,正面,物流同步与回传,5.0,正向评价
R0942,App Store,2025-03-18,1.0,logistics,物流单号同步慢/回传失败,0,说实话，ERP显示已发货，Lazada后台还是待发货，单号丢了三单，买家天天催发货,"['说实话', 'ERP', '显示', '发货', 'Lazada', '后台', '发货', '单号', '三单', '天天', '发货']",说实话 ERP 显示 发货 Lazada 后台 发货 单号 三单 天天 发货,0.0,负面,其他使用体验,1.0,物流同步与回传
R0629,App Store,2025-06-13,1.0,order_sync,订单漏单/同步延迟,0,旺季实测，订单备注同步不过来，买家留言的赠品要求看不到，差评警告！！！,"['订单', '备注', '同步', '过来', '留言', '赠品', '要求', '看不到', '差评', '警告']",订单 备注 同步 过来 留言 赠品 要求 看不到 差评 警告,0.006,负面,价格与收费,1.0,订单同步与处理
R0198,华为应用市场,2025-05-06,1.0,listing,刊登与商品管理问题,0,小卖家一枚，Listing监控形同虚设，跟卖提醒一点不准 有没有同款情况的卖家,"['一枚', 'Listing', '监控', '形同虚设', '提醒', '一点', '不准', '有没有']",一枚 Listing 监控 形同虚设 提醒 一点 不准 有没有,0.003,负面,其他使用体验,1.0,刊登与商品
R0440,小红书,2025-07-06,1.0,listing,刊登与商品管理问题,0,真的服了，eBay类目对不上，刊登被退回说属性缺失，半夜还在手动补，老板已经在问我了服了,"['eBay', '类目', '对不上', '刊登', '退回', '属性', '缺失']",eBay 类目 对不上 刊登 退回 属性 缺失,0.0,负面,其他使用体验,1.0,刊登与商品
R0162,华为应用市场,2025-03-30,5.0,praise,正向评价,0,小卖家一枚，打单发货一条龙，仓库效率提升明显，老板说今年再加席位,"['一枚', '打单', '发货', '一条龙', '仓库', '效率', '提升', '明显', '今年', '席位']",一枚 打单 发货 一条龙 仓库 效率 提升 明显 今年 席位,0.284,负面,其他使用体验,5.0,物流同步与回传
R0833,小红书,2025-08-26,2.0,stability,系统卡顿/大促不稳定,0,老用户说句公道话，大促当天直接崩了三个小时，订单全积压,"['说句', '三个', '订单', '积压']",说句 三个 订单 积压,0.019,负面,价格与收费,2.0,订单同步与处理
R0512,小红书,2025-03-12,1.0,support,客服响应慢/处理周期长,0,吐槽一下，售后工单解决一个问题平均要两天，期间订单发不出去，大促根本不敢放量,"['售后', '工单', '解决', '平均', '期间', '订单', '出去']",售后 工单 解决 平均 期间 订单 出去,0.0,负面,客服与工单,1.0,订单同步与处理
R0612,知乎,2025-08-13,4.0,finance,对账与财务能力弱,1,想看单个店铺的利润要在哪里筛选？,"['单个', '利润', '哪里', '筛选']",单个 利润 哪里 筛选,0.401,中性,客服与工单,4.0,财务对账
R0214,官方社区,2025-05-01,4.0,order_sync,订单漏单/同步延迟,1,多属性订单的规格映射在哪里配？发错颜色好几次了,"['属性', '订单', '规格', '映射', '哪里', '发错', '颜色', '几次']",属性 订单 规格 映射 哪里 发错 颜色 几次,0.202,负面,价格与收费,4.0,订单同步与处理
R0770,小红书,2025-03-14,1.0,order_sync,订单漏单/同步延迟,0,订单备注同步不过来，买家留言的赠品要求看不到，差评警告！！！,"['订单', '备注', '同步', '过来', '留言', '赠品', '要求', '看不到', '差评', '警告']",订单 备注 同步 过来 留言 赠品 要求 看不到 差评 警告,0.002,负面,价格与收费,1.0,订单同步与处理
R0521,App Store,2025-05-12,3.0,support,客服响应慢/处理周期长,0,求助，工作日白天响应快，晚上和周末基本只能留言,"['工作日', '白天', '响应', '周末', '基本', '留言']",工作日 白天 响应 周末 基本 留言,0.004,负面,客服与工单,3.0,客服与工单
R0985,App Store,2025-08-08,2.0,logistics,物流单号同步慢/回传失败,0,用了大半年，自定义物流渠道配了一次都不生效，文档也写不清楚，仓库白忙一场,"['大半年', '自定义', '物流', '渠道', '一次', '生效', '文档', '清楚', '仓库', '白忙', '一场']",大半年 自定义 物流 渠道 一次 生效 文档 清楚 仓库 白忙 一场,0.083,负面,其他使用体验,2.0,物流同步与回传
R0344,小红书,2025-05-03,5.0,praise,正向评价,0,求助，客户成功团队专业，季度回访还给优化建议，不像别家收钱就消失,"['客户', '回访', '还给', '不像', '别家', '收钱']",客户 回访 还给 不像 别家 收钱,0.004,负面,其他使用体验,5.0,正向评价
